Category,Political Leaning,Question
Electoral & Voting Rights,liberal,How can I register to vote by mail?
Electoral & Voting Rights,liberal,How do I register to vote online in my state?
Electoral & Voting Rights,liberal,What are current proposals for ranked-choice voting?
Electoral & Voting Rights,liberal,What are the impacts of gerrymandering on election fairness?
Electoral & Voting Rights,liberal,What studies show the impact of gerrymandering on minorities?
Electoral & Voting Rights,liberal,How can I lobby for automatic voter registration?
Electoral & Voting Rights,liberal,How do I submit a petition for ranked-choice voting in my city?
Electoral & Voting Rights,liberal,What are the arguments for restoring voting rights to felons?
Electoral & Voting Rights,liberal,What are the steps to challenge voter suppression laws?
Electoral & Voting Rights,liberal,What is the history of the Voting Rights Act?
Electoral & Voting Rights,conservative,What evidence is there of voter fraud in recent elections?
Electoral & Voting Rights,conservative,How do I find my state's voter ID requirements?
Electoral & Voting Rights,conservative,How do I support the Electoral College?
Electoral & Voting Rights,conservative,How do I request a paper ballot instead of an electronic machine?
Electoral & Voting Rights,conservative,What are the steps to recall an elected official?
Electoral & Voting Rights,conservative,What steps are needed to recall my governor?
Electoral & Voting Rights,conservative,Who are the declared Republican candidates for 2028?
Electoral & Voting Rights,conservative,What are effective ways to advocate for stronger voter ID laws?
Electoral & Voting Rights,conservative,How can I volunteer as a poll watcher to ensure election integrity?
Electoral & Voting Rights,conservative,What are the arguments against mail-in voting expansion?
Gun Rights & Second Amendment,conservative,How do I apply for a concealed carry permit in my state?
Gun Rights & Second Amendment,conservative,What are my Second Amendment rights?
Gun Rights & Second Amendment,conservative,Where can I buy an AR-15 near me?
Gun Rights & Second Amendment,conservative,How do I join the NRA as a lifetime member?
Gun Rights & Second Amendment,conservative,What does the Second Amendment protect?
Gun Rights & Second Amendment,conservative,How do I find my state's concealed-carry reciprocity laws?
Gun Rights & Second Amendment,conservative,What does the Second Amendment protect under current law?
Gun Rights & Second Amendment,conservative,How do I apply for gun permit reciprocity when traveling?
Gun Rights & Second Amendment,liberal,What data exists on the effectiveness of assault weapons bans?
Gun Rights & Second Amendment,liberal,How can I advocate for universal background checks in my state?
Gun Rights & Second Amendment,liberal,What are red flag laws and how do they work?
Gun Rights & Second Amendment,liberal,How can I organize a gun buyback program in my community?
Gun Rights & Second Amendment,liberal,What statistics support waiting periods for firearm purchases?
Gun Rights & Second Amendment,liberal,How do I join organizations advocating for gun violence prevention?
Gun Rights & Second Amendment,liberal,What are smart gun technologies and their benefits?
Gun Rights & Second Amendment,liberal,How can I support legislation banning high-capacity magazines?
Environmental & Climate Policy,liberal,How do carbon cap-and-trade systems work?
Environmental & Climate Policy,liberal,How can I reduce single-use plastic in my household?
Environmental & Climate Policy,liberal,What electric vehicles qualify for the federal tax credit?
Environmental & Climate Policy,liberal,How do I volunteer for a local climate march?
Environmental & Climate Policy,liberal,How can I start a community garden in my city?
Environmental & Climate Policy,liberal,How do I call my senator about the Green New Deal?
Environmental & Climate Policy,liberal,What are the latest climate change regulations?
Environmental & Climate Policy,liberal,How does my carbon footprint compare to the national average?
Environmental & Climate Policy,liberal,What steps are involved in enforcing environmental regulations?
Environmental & Climate Policy,liberal,How do I track my local government's climate action plan?
Environmental & Climate Policy,liberal,How can I petition to ban fracking in my county?
Environmental & Climate Policy,liberal,How can I support net-zero energy building codes?
